fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,a̱o,mes,dia,dia_semana,tasa_variacion,media_movil_7,media_movil_30,retorno_acumulado,volatilidad_7d,volumen_promedio_semanal
2023-05-01,163.17,163.28,158.83,161.83,161.83,109015000.0,2023,5,1,Monday,,,,,,
2023-05-02,161.88,165.49,158.93,160.31,160.31,128259700.0,2023,5,2,Tuesday,-0.009392572452573744,,,0.9906074275474263,,
2023-05-03,160.01,165.0,159.91,160.61,160.61,119728000.0,2023,5,3,Wednesday,0.001871374212463417,,,0.9924612247420133,,
2023-05-04,162.71,162.95,159.65,161.2,161.2,95108500.0,2023,5,4,Thursday,0.00367349480107082,,,0.9961070258913675,,
2023-05-05,163.97,170.79,163.51,170.06,170.06,107440900.0,2023,5,5,Friday,0.054962779156327635,,,1.050855836371501,,
2023-05-08,173.72,173.8,169.19,171.79,171.79,112249400.0,2023,5,8,Monday,0.010172880159943443,,,1.0615460668602854,,
2023-05-09,168.95,169.82,166.56,169.15,169.15,88965000.0,2023,5,9,Tuesday,-0.015367599976715662,164.99285714285716,,1.0452326515479207,,108680928.57142857
2023-05-10,172.55,174.43,166.68,168.54,168.54,119840700.0,2023,5,10,Wednesday,-0.003606266627254051,165.95142857142855,,1.0414632639189272,0.023176844513825293,110227457.14285715
2023-05-11,168.7,173.57,166.79,172.08,172.08,103889900.0,2023,5,11,Thursday,0.021003915984336263,167.63285714285715,,1.063338070815053,0.022643846864118626,106746057.14285715
2023-05-12,176.07,177.38,167.23,167.98,167.98,157577100.0,2023,5,12,Friday,-0.023826127382612916,168.68571428571428,,1.0380028424890317,0.026077318438337254,112153071.42857143
2023-05-15,167.66,169.76,164.55,166.35,166.35,105592500.0,2023,5,15,Monday,-0.00970353613525421,169.42142857142858,,1.0279305443984428,0.02681710927219384,113650785.71428572
2023-05-16,165.65,169.52,164.35,166.52,166.52,98288800.0,2023,5,16,Tuesday,0.00102194168920966,168.9157142857143,,1.0289810294753756,0.015263299071631348,112343342.85714285
2023-05-17,168.41,174.5,167.19,173.86,173.86,125473600.0,2023,5,17,Wednesday,0.0440787893346144,169.21142857142857,,1.0743372675029355,0.023344280424007473,114232514.28571428
2023-05-18,174.22,177.06,172.45,176.89,176.89,109520300.0,2023,5,18,Thursday,0.01742781548372241,170.31714285714287,,1.0930606191682632,0.022569173840187282,117168985.71428572
2023-05-19,177.17,181.95,176.31,180.14,180.14,136024200.0,2023,5,19,Friday,0.018373000169596976,171.9742857142857,,1.1131434221096215,0.022436556940146086,119480914.28571428
2023-05-22,180.7,189.32,180.11,188.87,188.87,132001400.0,2023,5,22,Monday,0.04846230709448207,174.37285714285716,,1.1670889204721007,0.026719813680215202,123496842.85714285
2023-05-23,186.2,192.96,185.26,185.77,185.77,156952100.0,2023,5,23,Tuesday,-0.016413406046487,176.91428571428574,,1.1479330161280359,0.02508182359471654,123407557.14285715
2023-05-24,182.23,184.22,178.22,182.9,182.9,137605100.0,2023,5,24,Wednesday,-0.015449211390429096,179.2785714285714,,1.130198356299821,0.026089215543605878,127980785.71428572
2023-05-25,186.54,186.78,180.58,184.47,184.47,96870700.0,2023,5,25,Thursday,0.008583925642427603,181.84285714285713,,1.1398998949514927,0.025618012531386646,127778200.0
2023-05-26,184.62,198.6,184.53,193.17,193.17,162061500.0,2023,5,26,Friday,0.047162140185395884,184.60142857142858,,1.193660013594513,0.026220567066571887,133005042.85714285
2023-05-30,200.1,204.48,197.53,201.16,201.16,128818700.0,2023,5,30,Tuesday,0.041362530413625365,188.06857142857143,,1.2430328122103445,0.028020353008208567,135761957.14285713
2023-05-31,199.78,203.95,195.12,203.93,203.93,150711700.0,2023,5,31,Wednesday,0.013770133227281711,191.46714285714285,,1.2601495396403635,0.028087852185788024,137860171.42857143
2024-05-01,182.0,185.86,179.01,179.99,179.99,92829700.0,2024,5,1,Wednesday,-0.11739322316481149,190.1985714285714,,1.1122165235123278,0.05519250135273234,132264214.28571428
2024-05-02,182.86,184.6,176.02,180.01,180.01,89148000.0,2024,5,2,Thursday,0.00011111728429336054,189.37571428571428,,1.1123401099919668,0.05500010104802105,122577914.28571428
2024-05-03,182.1,184.78,178.42,181.19,181.19,75491500.0,2024,5,3,Friday,0.006555191378256886,189.1314285714286,,1.1196317122906754,0.0548065920170739,113704542.85714285
2024-05-06,183.8,187.56,182.2,184.76,184.76,84390300.0,2024,5,6,Monday,0.019703074121088404,189.17285714285714,,1.1416918989062597,0.05525540397652969,111921628.57142857
2024-05-07,182.4,183.26,177.4,177.81,177.81,75045900.0,2024,5,7,Tuesday,-0.03761636717904304,186.97857142857143,,1.0987455972316629,0.05284556272215759,99490828.57142857
2024-05-08,171.59,176.06,170.15,174.72,174.72,79969500.0,2024,5,8,Wednesday,-0.01737810021933528,183.20142857142855,,1.0796514861274176,0.047645317171447904,92512371.42857143
2024-05-09,175.01,175.62,171.37,171.97,171.97,65950300.0,2024,5,9,Thursday,-0.015739468864468864,178.6357142857143,,1.0626583451770375,0.04553230249904504,80403600.0
2024-05-10,173.05,173.06,167.75,168.47,168.47,72627200.0,2024,5,10,Friday,-0.020352387044251907,176.99,176.21666666666667,1.0410307112401902,0.019199860852695788,77517528.57142857
2024-05-13,170.0,175.4,169.0,171.89,171.89,67018900.0,2024,5,13,Monday,0.020300350210719964,175.82999999999998,176.55200000000002,1.062163999258481,0.02213210570980549,74356228.57142857
2024-05-14,174.5,179.49,174.07,177.55,177.55,86407400.0,2024,5,14,Tuesday,0.03292803537145872,175.31,177.12666666666664,1.0971389729963543,0.02650919735254641,75915642.85714285
2024-05-15,179.9,180.0,173.11,173.99,173.99,79663000.0,2024,5,15,Wednesday,-0.02005068994649395,173.77142857142857,177.57266666666666,1.0751405796205897,0.025160390278152155,75240314.28571428
2024-05-16,174.1,175.79,171.43,174.84,174.84,59812200.0,2024,5,16,Thursday,0.004885338237829773,173.34714285714287,178.02733333333336,1.0803930050052526,0.02180326760729866,73064071.42857143
2024-05-17,173.55,179.63,172.75,177.46,177.46,77445800.0,2024,5,17,Friday,0.014985129261038788,173.73857142857145,178.27399999999997,1.0965828338379784,0.021477458344632737,72703542.85714285
2024-05-20,177.56,177.75,173.52,174.95,174.95,61727400.0,2024,5,20,Monday,-0.014144032458018763,174.16428571428574,178.37933333333334,1.081072730643268,0.0212599666783507,72100271.42857143
2024-05-21,175.51,186.88,174.71,186.6,186.6,115266500.0,2024,5,21,Tuesday,0.06659045441554734,176.75428571428571,178.96099999999998,1.1530618550330598,0.02941450975245699,78191600.0
2024-05-22,182.85,183.8,178.12,180.11,180.11,88313500.0,2024,5,22,Wednesday,-0.03478027867095379,177.92857142857142,179.3466666666667,1.112958042390163,0.03467860860828401,81233685.71428572
2024-05-23,181.8,181.9,173.26,173.74,173.74,71975500.0,2024,5,23,Thursday,-0.03536727555382824,177.3842857142857,179.40200000000002,1.0735957486251009,0.035822775540335,79171985.71428572
2024-05-24,174.84,180.08,173.73,179.24,179.24,65479700.0,2024,5,24,Friday,0.03165649821572458,178.1342857142857,179.77733333333333,1.1075820305258608,0.036927752569504105,77145800.0
2024-05-28,176.4,178.25,173.16,176.75,176.75,59736600.0,2024,5,28,Tuesday,-0.013891988395447474,178.40714285714287,180.124,1.0921955138107893,0.03759915441909271,77135000.0
2024-05-29,174.19,178.15,173.93,176.19,176.19,54782600.0,2024,5,29,Wednesday,-0.003168316831683171,178.22571428571428,180.44633333333334,1.0887350923808936,0.03719013411950766,73897400.0
2024-05-30,178.58,182.67,175.38,178.79,178.79,77784800.0,2024,5,30,Thursday,0.014756796639990855,178.77428571428572,180.61066666666667,1.10480133473398,0.0370195037563498,76191314.28571428
2024-05-31,178.5,180.32,173.82,178.08,178.08,67314600.0,2024,5,31,Friday,-0.003971139325465556,177.55714285714288,180.65033333333335,1.1004140147067911,0.024538823774189672,69341042.85714285
2025-05-01,280.01,290.87,279.81,280.52,280.52,99659000.0,2025,5,1,Thursday,0.575247079964061,191.90142857142857,183.99633333333333,1.7334239634184019,0.21907111473929033,70961828.57142857
2025-05-02,284.9,294.78,279.81,287.21,287.21,114454700.0,2025,5,2,Friday,0.02384856694709825,208.11142857142858,187.27433333333332,1.7747636408576901,0.21494431187272334,77030285.71428572
2025-05-05,284.57,284.85,274.4,280.26,280.26,94618900.0,2025,5,5,Monday,-0.024198321785453114,222.54285714285714,190.424,1.7318173391830933,0.21844519703066018,81193028.57142857
2025-05-06,273.11,277.73,271.35,275.35,275.35,76715800.0,2025,5,6,Tuesday,-0.01751944622850199,236.6285714285714,193.50566666666666,1.7014768584316877,0.21871260383166852,83618628.57142857
2025-05-07,276.88,277.92,271.0,276.22,276.22,71592600.0,2025,5,7,Wednesday,0.003159615035409402,250.91857142857143,196.564,1.7068528702959895,0.21832084288864315,86020057.14285715
2025-05-08,279.63,289.8,279.41,284.82,284.82,97539400.0,2025,5,8,Thursday,0.031134602852798343,266.0657142857143,199.61900000000003,1.759995056540814,0.21757136373576125,88842142.85714285
2025-05-09,290.21,307.04,290.0,298.26,298.26,132387800.0,2025,5,9,Friday,0.047187697493153546,283.2342857142857,202.85566666666668,1.8430451708583075,0.21496918217298164,98138314.28571428
